NS 10000
PHF -2,+8,-4,+8
ROOT 5084
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6876
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6272
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2438
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1640
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3946
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5462
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6173
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4951
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1068
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5468
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8351
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6873
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8658
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7640
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4917
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6136
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1761
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6579
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1981
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7987
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6439
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2058
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7643
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8735
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3280
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1981
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2432
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5328
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1027
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1681
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1684
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2872
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4346
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4344
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8915
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4242
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5860
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2866
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4979
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4459
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6768
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1648
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4542
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6788
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5657
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2566
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4244
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4762
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3871
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7775
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2351
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5888
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4888
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4577
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2326
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3760
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3437
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3873
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6086
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7086
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3866
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5460
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3662
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5455
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3242
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2022
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3435
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1020
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1444
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1026
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8122
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2642
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1011
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1455
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4244
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5355
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5668
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2535
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4871
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3333
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6466
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4086
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8215
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2020
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3335
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4866
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3971
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1228
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2239
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5553
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4779
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5555
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1126
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7311
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8426
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4546
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1646
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2560
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2026
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6688
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7775
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2126
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2562
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4553
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2122
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4242
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6568
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4462
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6984
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7571
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4346
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3133
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1555
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3871
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5884
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3355
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6671
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6760
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3975
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1420
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1455
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2537
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2557
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5653
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7117
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6566
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3233
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2551
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3768
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1435
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2764
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2537
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8917
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2657
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1753
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7777
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3868
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1459
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5860
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5082
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7577
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3873
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6088
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5080
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1133
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4351
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3977
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4464
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4768
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2355
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5560
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4562
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4088
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7119
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1459
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3340
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1753
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3131
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2137
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1753
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1028
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4784
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4753
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3646
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8220
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4884
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8688
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5557
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5884
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8220
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3248
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5560
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4788
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1548
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5657
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6666
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8328
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4551
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5984
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4573
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8113
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4464
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4082
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4088
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3646
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1213
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5664
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2642
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2224
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6571
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2866
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2557
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4542
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3466
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4884
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2551
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1653
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4462
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2659
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3235
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6566
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5684
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4573
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3875
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8788
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1239
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2646
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1028
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1531
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6971
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5980
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6673
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5462
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2331
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2324
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4082
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2757
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4244
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5884
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4457
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2866
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3248
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3651
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6775
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8880
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2537
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8780
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4548
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3873
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2757
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3642
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2757
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4248
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8122
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3873
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8880
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6673
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4779
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4548
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1011
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3466
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5359
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5562
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2242
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2642
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2557
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2339
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2860
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 4451
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1651
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5562
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1755
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 3860
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 2242
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 8682
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 5868
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1431
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6686
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 7886
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 1753
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
PHF -7,+1,-3,+7
ROOT 6986
UHF -9,+9,-4,+5
LHF -7,+7,-7,+0
